question,option_1,option_2,option_3,option_4,answer,difficulty,type
"A father is 4 times as old as his son. After 16 years, he will be twice as old as his son. The son's present age is:",8 years,6 years,10 years,12 years,8 years,hard,aptitude
"Find the next term in the series: 2, 5, 10, 17, 26, ?",35,37,39,41,37,hard,aptitude
"Find the next term in the series: 4, 9, 16, 25, 36, ?",51,47,53,49,49,hard,aptitude
"Find the next term in the series: 3, 8, 15, 24, 35, ?",46,52,48,50,48,hard,aptitude
"Find the next term in the series: 1, 4, 9, 16, 25, ?",38,40,36,34,36,hard,aptitude
"Find the next term in the series: 7, 14, 23, 34, 47, ?",64,62,66,60,62,hard,aptitude
"Find the next term in the series: 5, 12, 21, 32, 45, ?",64,60,58,62,60,hard,aptitude
"Find the next term in the series: 6, 13, 22, 33, 46, ?",63,65,59,61,61,hard,aptitude
"Find the next term in the series: 8, 17, 28, 41, 56, ?",71,77,75,73,73,hard,aptitude
"Find the next term in the series: 9, 19, 31, 45, 61, ?",77,81,83,79,79,hard,aptitude
"Find the next term in the series: 11, 23, 37, 53, 71, ?",91,93,89,95,91,hard,aptitude
"If each letter in 'BRIDGE' is moved 1 step forward in the alphabet, the code becomes:",BRIDGE,CSJEHF,CSJEHE,DTKFIG,CSJEHF,hard,aptitude
"If each letter in 'MARKET' is moved 2 steps forward in the alphabet, the code becomes:",NBSLFU,OCTMGV,OCTMGT,PDUNHW,OCTMGV,hard,aptitude
"If each letter in 'PLANET' is moved 3 steps forward in the alphabet, the code becomes:",SODQHW,RNCPGV,TPERIX,SODQHT,SODQHW,hard,aptitude
"If each letter in 'GARDEN' is moved 1 step forward in the alphabet, the code becomes:",HBSEFO,HBSEFN,ICTFGP,GARDEN,HBSEFO,hard,aptitude
"If each letter in 'POCKET' is moved 2 steps forward in the alphabet, the code becomes:",QPDLFU,RQEMGT,RQEMGV,SRFNHW,RQEMGV,hard,aptitude
"If each letter in 'STREAM' is moved 3 steps forward in the alphabet, the code becomes:",VWUHDM,UVTGCO,VWUHDP,WXVIEQ,VWUHDP,hard,aptitude
"If each letter in 'OBJECT' is moved 1 step forward in the alphabet, the code becomes:",QDLGEV,PCKFDT,PCKFDU,OBJECT,PCKFDU,hard,aptitude
"If each letter in 'SILVER' is moved 2 steps forward in the alphabet, the code becomes:",VLOYHU,UKNXGT,TJMWFS,UKNXGR,UKNXGT,hard,aptitude
"If each letter in 'WINTER' is moved 3 steps forward in the alphabet, the code becomes:",AMRXIV,ZLQWHR,YKPVGT,ZLQWHU,ZLQWHU,hard,aptitude
"If each letter in 'CANDLE' is moved 2 steps forward in the alphabet, the code becomes:",ECPFNE,DBOEMF,ECPFNG,FDQGOH,ECPFNG,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 2:20?,60°,50°,30°,40°,50°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 3:40?,110°,130°,140°,120°,130°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 4:50?,135°,165°,145°,155°,155°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 5:24?,2°,8°,18°,28°,18°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 7:30?,45°,55°,25°,35°,45°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 8:20?,130°,110°,140°,120°,130°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 9:36?,82°,72°,62°,52°,72°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 10:12?,136°,106°,116°,126°,126°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 11:48?,56°,46°,76°,66°,66°,hard,aptitude
What is the angle between the hour hand and minute hand of a clock at 1:44?,128°,138°,148°,158°,148°,hard,aptitude
"In a class, a student is 12th from the top and 15th from the bottom. The total number of students is:",25,27,28,26,26,hard,aptitude
"In a class, a student is 10th from the top and 18th from the bottom. The total number of students is:",29,28,27,26,27,hard,aptitude
"In a class, a student is 8th from the top and 20th from the bottom. The total number of students is:",28,27,29,26,27,hard,aptitude
"In a class, a student is 14th from the top and 11th from the bottom. The total number of students is:",25,24,26,23,24,hard,aptitude
"In a class, a student is 9th from the top and 16th from the bottom. The total number of students is:",23,24,26,25,24,hard,aptitude
"In a class, a student is 7th from the top and 22th from the bottom. The total number of students is:",29,30,27,28,28,hard,aptitude
"In a class, a student is 13th from the top and 14th from the bottom. The total number of students is:",28,26,27,25,26,hard,aptitude
"In a class, a student is 6th from the top and 19th from the bottom. The total number of students is:",26,25,24,23,24,hard,aptitude
"In a class, a student is 15th from the top and 10th from the bottom. The total number of students is:",23,24,25,26,24,hard,aptitude
"In a class, a student is 11th from the top and 17th from the bottom. The total number of students is:",29,28,26,27,27,hard,aptitude
"If today is Monday, what day of the week will it be after 75 days?",Sunday,Monday,Saturday,Friday,Saturday,hard,aptitude
"If today is Thursday, what day of the week will it be after 100 days?",Monday,Sunday,Saturday,Friday,Saturday,hard,aptitude
"If today is Sunday, what day of the week will it be after 45 days?",Wednesday,Friday,Tuesday,Thursday,Wednesday,hard,aptitude
"If today is Wednesday, what day of the week will it be after 120 days?",Friday,Thursday,Wednesday,Saturday,Thursday,hard,aptitude
"If today is Friday, what day of the week will it be after 62 days?",Friday,Wednesday,Saturday,Thursday,Thursday,hard,aptitude
"If today is Tuesday, what day of the week will it be after 90 days?",Sunday,Wednesday,Tuesday,Monday,Monday,hard,aptitude
"If today is Saturday, what day of the week will it be after 150 days?",Wednesday,Monday,Tuesday,Thursday,Tuesday,hard,aptitude
"If today is Monday, what day of the week will it be after 36 days?",Thursday,Tuesday,Wednesday,Monday,Tuesday,hard,aptitude
"If today is Thursday, what day of the week will it be after 81 days?",Tuesday,Wednesday,Monday,Sunday,Monday,hard,aptitude
"If today is Sunday, what day of the week will it be after 200 days?",Saturday,Wednesday,Friday,Thursday,Thursday,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 12 + 5 - 4 × 2 ÷ 3 = ?",64,59,57,62,59,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 24 + 8 - 6 × 3 ÷ 2 = ?",192,190,195,197,192,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 15 + 9 - 8 × 4 ÷ 3 = ?",137,132,139,134,134,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 20 + 5 - 9 × 3 ÷ 4 = ?",99,104,102,97,99,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 30 + 6 - 8 × 4 ÷ 2 = ?",183,178,185,180,180,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 16 + 4 - 8 × 2 ÷ 2 = ?",66,64,71,69,66,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 21 + 7 - 6 × 3 ÷ 2 = ?",145,147,150,152,147,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 28 + 5 - 9 × 3 ÷ 3 = ?",138,140,143,145,140,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 14 + 6 - 8 × 4 ÷ 2 = ?",89,82,84,87,84,hard,aptitude
"If '+' means '×', '-' means '+', '×' means '÷' and '÷' means '-', then 18 + 3 - 10 × 2 ÷ 5 = ?",52,59,57,54,54,hard,aptitude
Choose the correctly spelt form of 'conscience':,Consciense,Conscience,Consience,Consciensce,Conscience,hard,aptitude
Choose the correctly spelt form of 'occurrence':,Occurence,Occurrence,Ocurrence,Occurance,Occurrence,hard,aptitude
Choose the word opposite in meaning to 'obsolete':,outdated,current,ancient,discarded,current,hard,aptitude
Choose the word opposite in meaning to 'transparent':,clear,opaque,evident,visible,opaque,hard,aptitude
Choose the word nearest in meaning to 'resilient':,fragile,flexible,recovering,stubborn,recovering,hard,aptitude
Choose the word nearest in meaning to 'candid':,guarded,frank,uncertain,clever,frank,hard,aptitude
Choose the grammatically correct sentence with 'neither':,Neither of the answers are correct.,Neither of the answers is correct.,Neither of the answer is correct.,Neither of answer are correct.,Neither of the answers is correct.,hard,aptitude
Choose the grammatically correct sentence with 'each of':,Each of the documents were signed.,Each of the documents was signed.,Each of the document were signed.,Each document were signed.,Each of the documents was signed.,hard,aptitude
Fill in the blank: Hardly had the train left _____ the passengers reached the platform.,when,than,then,as,when,hard,aptitude
Fill in the blank: No sooner had she spoken _____ everyone fell silent.,when,than,then,as,than,hard,aptitude
Choose the one-word substitution for 'a speech delivered without preparation':,soliloquy,extempore,eulogy,monologue,extempore,hard,aptitude
Choose the one-word substitution for 'a person who looks on the bright side of things':,pessimist,cynic,optimist,realist,optimist,hard,aptitude
Choose the correct sentence using collective noun correctly:,The committee have given its decision.,The committee has given its decision.,The committee have gave its decision.,The committee has gave its decision.,The committee has given its decision.,hard,aptitude
Choose the correct sentence using the adjective 'senior':,He is senior than me.,He is senior to me.,He is more senior than me.,He is senior from me.,He is senior to me.,hard,aptitude
Select the synonym of 'lucid':,confusing,clear,dark,rigid,clear,hard,aptitude
Select the antonym of 'frugal':,economical,wasteful,careful,simple,wasteful,hard,aptitude
"Fill in the blank: The policy applies equally to all employees, _____ their designation.",irrespective of,despite,except,whereas,irrespective of,hard,aptitude
Arrange the parts to form a meaningful sentence: P. the results Q. after reviewing R. the board approved S. carefully,SRQP,RQSP,QSRP,RSQP,RSQP,hard,aptitude
Choose the correctly punctuated sentence:,However we decided to continue the project.,"However, we decided to continue the project.","However we decided, to continue the project.","However, we decided, to continue the project.","However, we decided to continue the project.",hard,aptitude
Choose the word closest in meaning to 'prudent':,careless,wise,impulsive,weak,wise,hard,aptitude
A sum invested at simple interest becomes three times itself in 10 years. In how many years will it become four times itself at the same rate?,12 years,15 years,18 years,20 years,15 years,hard,aptitude
"What least number must be subtracted from 3,512 so that the result is exactly divisible by 17?",8,9,10,11,10,hard,aptitude
You discover a recurring defect in one customer case that may affect many other customers. What should you do first?,Resolve only the current case and wait for more complaints,"Flag the broader risk, document evidence, and start containment",Close the ticket because one case is not enough,Share the issue informally but avoid escalation,"Flag the broader risk, document evidence, and start containment",hard,aptitude
"A stakeholder asks for a status update, but the key dependency owner has not replied yet. What is the strongest response?",Give an optimistic answer and verify later,"Share what is confirmed, state what is pending, and note the risk",Avoid replying until every detail is known,Blame the dependency owner in the update,"Share what is confirmed, state what is pending, and note the risk",hard,aptitude
You are about to send a report and notice one figure does not reconcile. Deadline is in five minutes. What is the best action?,Send it anyway because most of the report is correct,"Hold the report briefly, verify the mismatch, and send a corrected version",Delete the figure and send the rest,Send the report and hope no one notices,"Hold the report briefly, verify the mismatch, and send a corrected version",hard,aptitude
A teammate proposes skipping a review step because 'it always passes.' What should you do?,Agree if the team is under pressure,Insist on at least a risk-based review before release,Let them decide since it is their module,Postpone the review indefinitely,Insist on at least a risk-based review before release,hard,aptitude
"A customer is upset and demanding an immediate answer, but the issue is still being investigated. What is the best response?",Give a definite answer to calm them down,"Acknowledge urgency, share current facts, and commit to the next update time",Stay silent until the investigation ends,Transfer the case without any explanation,"Acknowledge urgency, share current facts, and commit to the next update time",hard,aptitude
You are assigned a task with ambiguous ownership across two teams. What is the strongest first move?,Assume the other team owns it,Clarify ownership quickly while starting the parts already known,Wait until someone explicitly assigns it,Complete the full task alone without alignment,Clarify ownership quickly while starting the parts already known,hard,aptitude
"A manager asks for a rough estimate, but you only have partial data. What should you provide?",A single number with no context,A range with assumptions and key risks,No answer at all,The most aggressive estimate possible,A range with assumptions and key risks,hard,aptitude
"You find that a process metric improved sharply, but only because work shifted to another queue. What is the right thing to do?",Report the improvement as success,Report the number with context and validate whether the gain is real,Hide the number until next week,Ignore the shift because the metric still improved,Report the number with context and validate whether the gain is real,hard,aptitude
"A colleague asks you to approve something you have not reviewed, saying it is only a formality. What should you do?",Approve it to keep work moving,Review or decline to approve until you can verify it,Approve it if they are senior enough,Ask someone else to approve blindly,Review or decline to approve until you can verify it,hard,aptitude
"A new joiner is making slow progress, but the instructions they received were incomplete. What is the best response?",Judge performance only by speed,"Clarify expectations, fill the gaps, and then reassess performance",Escalate immediately,Take away the task permanently,"Clarify expectations, fill the gaps, and then reassess performance",hard,aptitude
"Two urgent tickets arrive together: one affects one VIP user, the other affects many standard users. What should guide your first decision?",Always prioritize the VIP,"Compare user impact, severity, and business risk before choosing",Pick whichever looks easier to close,Wait for a manager to choose,"Compare user impact, severity, and business risk before choosing",hard,aptitude
You notice a teammate repeatedly shares sensitive details in public channels. What is the best response?,Ignore it until there is a formal complaint,Correct it promptly and redirect the conversation to a safer channel,Share the same details so everyone stays aligned,Discuss the mistake with unrelated coworkers first,Correct it promptly and redirect the conversation to a safer channel,hard,aptitude
A project is behind because assumptions changed. What is the strongest way to recover?,Pretend the plan still works,"Reset expectations, re-scope, and align on a realistic recovery plan",Increase pressure without changing the plan,Stop communicating until the project improves,"Reset expectations, re-scope, and align on a realistic recovery plan",hard,aptitude
"A customer asks for an exception that is outside policy, but there are genuine edge-case facts. What should you do?",Reject it without discussion,"Capture the facts, explain the policy, and escalate for exception review",Promise approval immediately,Approve it yourself without authority,"Capture the facts, explain the policy, and escalate for exception review",hard,aptitude
You see a teammate using a shortcut that saves time but weakens auditability. What matters most?,Speed matters more than traceability,Traceability matters when work may need review later,Only final output matters,Shortcuts are always acceptable under pressure,Traceability matters when work may need review later,hard,aptitude
"A leader asks for your opinion, but the room already agrees on another direction. What should you do?",Stay silent to avoid conflict,"State your view respectfully with evidence, then support the final decision",Oppose the group aggressively,Complain afterward instead of speaking up,"State your view respectfully with evidence, then support the final decision",hard,aptitude
"A problem seems fixed, but you are not convinced the root cause was addressed. What should you do?",Close it because symptoms are gone,Confirm whether the fix addressed cause or only the immediate symptom,Reopen every similar issue immediately,Escalate without any supporting evidence,Confirm whether the fix addressed cause or only the immediate symptom,hard,aptitude
A teammate is highly productive but often creates hidden rework for others. How should performance be judged?,Only by individual output volume,By output plus downstream impact on the team,Only by deadlines met,Only by technical skill,By output plus downstream impact on the team,hard,aptitude
A customer wants a guarantee you cannot responsibly give. What is the best response?,Guarantee it to preserve confidence,Be clear about what can and cannot be committed right now,Avoid answering the question,Tell the customer to ask someone else,Be clear about what can and cannot be committed right now,hard,aptitude
You receive feedback you disagree with. What is the strongest response?,Reject it immediately,"Seek examples, understand the concern, and respond thoughtfully",Discuss it with peers instead of the giver,Ignore it because you disagree,"Seek examples, understand the concern, and respond thoughtfully",hard,aptitude
A task owner is unavailable and a decision is needed to prevent material delay. What should you do?,Do nothing until they return,Make the best decision within your authority and document it clearly,Choose randomly to move faster,Ask multiple people until someone guesses,Make the best decision within your authority and document it clearly,hard,aptitude
"A dashboard looks healthy, but one underlying driver looks unusually weak. What is the best action?",Highlight only the top-line result,Investigate the weak driver before assuming the overall story is sound,Remove the weak driver from the report,Delay all reporting indefinitely,Investigate the weak driver before assuming the overall story is sound,hard,aptitude
A teammate asks you to mark them present at a meeting they missed. What should you do?,Do it once as a favor,Decline and avoid misrepresenting attendance,Do it if they promise to help later,Ask someone else to do it instead,Decline and avoid misrepresenting attendance,hard,aptitude
You are reviewing a proposal and find one assumption with large downside risk. What is the strongest response?,Approve it because most of it looks good,Call out the assumption and test how sensitive the outcome is to it,Reject the proposal without explanation,Ignore the assumption to save time,Call out the assumption and test how sensitive the outcome is to it,hard,aptitude
A team member keeps bringing problems without any options. What response improves the pattern?,Stop helping them altogether,Ask them to return with possible options and trade-offs,Escalate them as negative,Give the answer every time to save time,Ask them to return with possible options and trade-offs,hard,aptitude
"A release deadline is close, and one unresolved bug has low probability but high impact. What should drive the decision?",Only how easy the bug is to fix,Risk severity as well as probability,The fact that it is only one bug,Whether the team is tired,Risk severity as well as probability,hard,aptitude
"A process appears inefficient, but you do not yet understand why the step exists. What should you do?",Remove it immediately,Understand the rationale before proposing changes,Ignore it forever,Ask others to bypass it first,Understand the rationale before proposing changes,hard,aptitude
You realize a teammate deserves credit you just received publicly. What should you do?,Keep the credit since the team still benefits,Correct the impression and acknowledge their contribution,Say nothing unless they complain,Mention it later only if asked privately,Correct the impression and acknowledge their contribution,hard,aptitude
A customer asks a question that may expose a weakness in your product. What is the strongest response?,Avoid the question,"Answer honestly, add context, and explain mitigation or limits",Deny the weakness completely,Transfer the conversation immediately,"Answer honestly, add context, and explain mitigation or limits",hard,aptitude
A teammate is defensive during review. What is the best way to keep the discussion useful?,Become equally defensive,"Stay specific, focus on the work, and lower emotion",End feedback permanently,Tell others they cannot handle review,"Stay specific, focus on the work, and lower emotion",hard,aptitude
You have incomplete documentation for a task you inherited. What is the best first step?,Proceed on assumptions only,"Document what is known, identify unknowns, and close the critical gaps",Stop permanently until full documentation exists,Ask everyone except the last owner,"Document what is known, identify unknowns, and close the critical gaps",hard,aptitude
A metric target was achieved only because work quality dropped. What should you do?,Celebrate the target anyway,Report the trade-off transparently instead of treating it as clean success,Hide the quality issue,Blame the target itself,Report the trade-off transparently instead of treating it as clean success,hard,aptitude
A teammate wants to deploy a change late at night without peer review because the system seems stable. What is the best response?,Approve since nighttime traffic is lower,Require an appropriate review or rollback-ready plan before deployment,Let them decide because they built it,Delay the change forever,Require an appropriate review or rollback-ready plan before deployment,hard,aptitude
A stakeholder changes requirements repeatedly. What reduces rework the most?,Keep redoing work silently,"Document changes, confirm priority, and reset scope explicitly",Reject all future changes,Complain internally but keep the scope unclear,"Document changes, confirm priority, and reset scope explicitly",hard,aptitude
"A customer escalation is emotionally charged, but the facts are still unclear. What should guide your tone?",Defensiveness,Calm acknowledgement plus fact-finding,Strict policy language only,Minimal communication,Calm acknowledgement plus fact-finding,hard,aptitude
A colleague requests data access that seems broader than needed. What is the strongest response?,Grant access to be collaborative,Check need-to-know and follow the least-access principle,Grant it temporarily without record,Share exported data privately instead,Check need-to-know and follow the least-access principle,hard,aptitude
"You suspect a trend in customer complaints, but the sample is still small. What should you do?",Ignore it until it becomes severe,Start monitoring and gather evidence before drawing conclusions,Announce a full root cause immediately,Treat it as random without checking,Start monitoring and gather evidence before drawing conclusions,hard,aptitude
Your manager is unavailable and a client is waiting. Which response is strongest?,Say nothing until the manager returns,"Respond with what is confirmed, note what needs approval, and set follow-up",Give full approval yourself even if you lack authority,Tell the client to wait indefinitely,"Respond with what is confirmed, note what needs approval, and set follow-up",hard,aptitude
"A teammate sends a message that sounds rude, but intent is unclear. What should you do first?",Reply sharply,Assume positive intent and clarify before escalating,Share the message widely,Stop collaborating with them,Assume positive intent and clarify before escalating,hard,aptitude
You identify a manual step that repeatedly causes errors. What is the best long-term response?,Accept it as normal,"Reduce error-proneness through simplification, automation, or checks",Train people harder and change nothing else,Add more steps around it,"Reduce error-proneness through simplification, automation, or checks",hard,aptitude
"A senior asks for a number 'just for planning,' but such numbers often become commitments. What is the best protection?",Refuse every estimate,"Frame the estimate with assumptions, confidence level, and caveats",Give the most optimistic number,Give the average of past cases with no context,"Frame the estimate with assumptions, confidence level, and caveats",hard,aptitude
One team is optimizing its own queue in a way that increases work for another team. What matters most?,Local optimization is enough,End-to-end outcome across teams matters,Only the first team's metrics matter,Only the manager of the second team should care,End-to-end outcome across teams matters,hard,aptitude
A bug report lacks enough detail to reproduce the issue. What is the strongest next step?,Close it as invalid immediately,Request the minimum missing details needed to reproduce or narrow it,Guess the cause and fix that,Escalate it as critical with no evidence,Request the minimum missing details needed to reproduce or narrow it,hard,aptitude
A colleague wants you to say you reviewed a document that you only skimmed. What should you do?,Agree because you looked at it briefly,Be honest about the level of review you actually completed,Say yes and read it later,Ask them to tell others instead,Be honest about the level of review you actually completed,hard,aptitude
You can either close five easy issues or one high-impact issue in the next hour. What should guide you?,Ticket count only,"Expected impact, urgency, and customer value",Which issue is assigned by the nicest person,Which one is most visible internally,"Expected impact, urgency, and customer value",hard,aptitude
A process works most of the time but fails badly in rare cases. What is the right view?,Rare failures can be ignored,Low frequency does not cancel high severity,Only average performance matters,The process is good enough by definition,Low frequency does not cancel high severity,hard,aptitude
A teammate proposes a shortcut that saves 20 minutes but weakens controls. What should you ask first?,Whether the shortcut is popular,Whether the time saved justifies the control risk,Whether the shortcut is clever,Whether anyone will notice,Whether the time saved justifies the control risk,hard,aptitude
A new hire is quiet in meetings but produces strong work. What is the best team response?,Assume they lack ideas,"Create space for their input and judge by contribution, not volume alone",Ignore them because they are new,Make them speak first every time,"Create space for their input and judge by contribution, not volume alone",hard,aptitude
"A customer asks for something outside standard scope, but you see a possible alternative that still solves the core need. What should you do?",Say no and stop there,Offer the alternative and explain the trade-offs clearly,Promise the original request will be done,Escalate without any proposal,Offer the alternative and explain the trade-offs clearly,hard,aptitude
A teammate is fast but often forgets to hand over context. What is the missing skill?,Energy,Reliable communication and handoff discipline,Creativity,Technical depth,Reliable communication and handoff discipline,hard,aptitude
,,,,,,,
