question,option_1,option_2,option_3,option_4,answer,difficulty,type
"A teammate is great individually but does not share information, causing duplication. What should be addressed?",Only their output quality,The need for knowledge sharing and team visibility,"Nothing, because independent work is enough",Their personality rather than the behavior,The need for knowledge sharing and team visibility,hard,hr
"You have a promising idea, but the timing is poor because the team is handling an incident. What should you do?",Insist on discussing it immediately,Capture it briefly and revisit when the urgent issue is stable,Forget it entirely,Message everyone repeatedly until it is discussed,Capture it briefly and revisit when the urgent issue is stable,hard,hr
A colleague asks for feedback and becomes defensive when you give it. What should you do?,Stop giving feedback forever,"Stay calm, focus on specifics, and pick a better moment if needed",Become equally defensive,Tell others they cannot handle feedback,"Stay calm, focus on specifics, and pick a better moment if needed",hard,hr
"You suspect an error in a process everyone trusts, but you have limited proof. What should you do?",Accuse the process owner immediately,Investigate carefully and raise the concern with evidence,Ignore it because the process is established,Post your suspicion publicly first,Investigate carefully and raise the concern with evidence,hard,hr
"A candidate is asked, 'How do you handle pressure?' Which answer is strongest?",I work best only under pressure,"I stay organized, prioritize, and communicate early when risks appear",Pressure does not affect me at all,I usually wait until things calm down,"I stay organized, prioritize, and communicate early when risks appear",hard,hr
You are asked to mentor someone while still meeting your own targets. What is the best mindset?,Mentoring is a distraction from real work,Balance support with boundaries so both development and delivery continue,Prioritize mentoring and ignore your targets,Avoid mentoring unless formally rewarded,Balance support with boundaries so both development and delivery continue,hard,hr
A stakeholder requests an immediate answer to a complex problem. What should you do?,Give the first answer that sounds reasonable,"Provide what is known now, note uncertainties, and commit to follow-up",Say nothing until the full analysis is complete,Blame the question for being too complex,"Provide what is known now, note uncertainties, and commit to follow-up",hard,hr
You notice a team tradition that excludes new members unintentionally. What is the best response?,Keep it because traditions matter,Raise inclusion concerns respectfully and suggest a better approach,Call the team unfair without discussion,Ignore it because new members will adjust,Raise inclusion concerns respectfully and suggest a better approach,hard,hr
A manager gives you more responsibility than formal authority. What skill becomes most important?,Using title to force compliance,"Influencing, aligning, and following up consistently",Avoiding difficult conversations,Doing all the work yourself,"Influencing, aligning, and following up consistently",hard,hr
"You have to choose between two good candidates: one is technically stronger, the other collaborates better. What is the best approach?",Always choose technical strength only,Assess role needs and weigh both performance and team impact,Always choose the friendlier person,Pick randomly if both seem good,Assess role needs and weigh both performance and team impact,hard,hr
"Your teammate asks you to review their work 'quickly,' but you know a shallow review may miss important issues. What should you do?",Approve quickly to be helpful,Set expectations on what level of review you can do in the time available,Decline all reviews when busy,Pretend to review and approve it,Set expectations on what level of review you can do in the time available,hard,hr
"A colleague consistently delivers at the last minute, creating stress for others, though deadlines are technically met. What is the core issue?",There is no issue if deadlines are met,"Reliability includes predictability and impact on others, not just final timing",Only the manager should care about it,The rest of the team should work faster,"Reliability includes predictability and impact on others, not just final timing",hard,hr
You are invited to criticize a failed project after the fact. What response is most useful?,List every mistake made by others,"Focus on lessons, decision points, and better future practices",Say failure happened because people were careless,Avoid discussion because the project is over,"Focus on lessons, decision points, and better future practices",hard,hr
A person on your team is very capable but rejects feedback. What is the best way to improve the situation?,Stop giving them feedback,"Use concrete examples, outcomes, and shared goals in the discussion",Lower expectations permanently,Wait for a major failure first,"Use concrete examples, outcomes, and shared goals in the discussion",hard,hr
"You have an idea that could improve results, but it may create extra work for another team. What should you do?",Push it through because your team's results matter most,Discuss impact with the other team and look for a workable solution,Drop the idea immediately,Ask your team to hide the impact,Discuss impact with the other team and look for a workable solution,hard,hr
A customer praises a feature that your team knows is temporary and may change soon. What should you say?,Promise it will remain forever,Appreciate the feedback without making commitments you cannot guarantee,Say nothing positive to avoid risk,Warn them bluntly that they should not depend on it,Appreciate the feedback without making commitments you cannot guarantee,hard,hr
You are assigned a repetitive task for several weeks. What is the best high-level response?,Complain because growth is impossible in such tasks,"Do it well, look for patterns, and suggest efficiency improvements",Do only the minimum because the work is repetitive,Keep changing the method so it feels different,"Do it well, look for patterns, and suggest efficiency improvements",hard,hr
"In a discussion, you realize you have been arguing the wrong point. What should you do?",Continue arguing to save face,Acknowledge the shift and redirect to the more relevant issue,Go silent and withdraw completely,Blame others for confusing the topic,Acknowledge the shift and redirect to the more relevant issue,hard,hr
A peer asks for your honest feedback on whether they are ready for a role. What is the best response?,"Say yes to be encouraging, regardless of reality","Give balanced feedback on strengths, gaps, and next steps",Say no without explanation,Avoid answering because it is uncomfortable,"Give balanced feedback on strengths, gaps, and next steps",hard,hr
You are selected for a role and told that learning will matter as much as current skill. What behavior best matches that expectation?,Waiting to be taught everything step by step,"Taking initiative to learn, apply, and ask focused questions",Acting confident even when you do not understand,Avoiding unfamiliar work until fully comfortable,"Taking initiative to learn, apply, and ask focused questions",hard,hr
